line,score
504,140.63309
92,140.26471
198,139.49762
391,139.09305
524,138.7598
580,138.04007
357,137.56926
550,137.28674
105,136.82286
365,135.67368
261,135.21112
541,135.20462
498,131.95848
546,130.21994
352,130.21484
428,129.6561
575,129.28166
496,127.9204
502,127.51692
349,127.32656
389,126.35728
398,126.059166
29,125.80211
390,123.78987
98,78.19403
369,70.864105
370,68.58266
525,60.01857
89,56.88903
384,43.273426
168,34.73734
10,34.29888
497,31.97902
156,31.732723
483,31.05774
255,30.646461
220,28.075235
526,27.214855
47,26.589628
339,26.167091
378,25.438616
230,25.227474
101,25.124401
337,24.738625
376,24.576464
269,24.38866
544,24.335564
338,23.957573
520,23.009645
407,22.95604
225,22.821589
167,22.81778
5,22.782146
295,22.577673
419,22.538055
32,22.059166
466,21.996098
145,21.846851
17,21.462149
494,21.365501
554,21.348003
345,21.229637
501,21.135235
221,21.025919
440,20.72942
311,20.68763
464,20.661896
336,20.651928
379,20.64239
493,20.5076
264,20.466091
448,20.45944
216,20.286808
533,20.136099
110,20.103138
285,19.782394
326,19.437244
433,19.3023
95,19.23566
76,19.224812
248,19.221214
400,19.182682
219,18.679893
386,18.65703
380,18.646725
286,18.574791
348,18.56121
112,18.470774
558,18.463638
122,18.223114
239,18.084866
245,17.939175
414,17.921358
159,17.898567
205,17.857098
0,17.801655
393,17.782946
354,17.770088
243,17.769127
185,17.728254
117,17.720764
177,17.682133
375,17.681023
302,17.668943
44,17.5472
184,17.541742
209,17.49159
394,17.465652
567,17.275433
202,17.18377
218,17.180592
306,17.146698
342,17.13066
439,17.11067
438,17.030823
103,16.94821
517,16.911972
186,16.72489
109,16.690573
275,16.541307
360,16.363995
157,16.332987
474,16.321728
351,16.106121
320,15.989863
579,15.88329
192,15.79665
114,15.733549
81,15.719587
242,15.6798935
343,15.52117
229,15.499138
180,15.388121
251,15.376734
292,15.356888
364,15.311344
274,15.175705
340,15.147467
485,15.070196
578,14.998369
147,14.840793
513,14.829526
190,14.811943
258,14.784145
388,14.714626
37,14.675758
86,14.674509
215,14.6409
266,14.623187
327,14.581856
36,14.563639
176,14.508289
193,14.441194
309,14.422627
196,14.411238
430,14.342941
160,14.318173
237,14.307863
461,14.295574
26,14.240797
140,14.213265
249,14.194176
312,14.182312
204,14.178061
265,14.172783
538,14.1177025
16,14.070073
460,14.049216
412,14.018153
118,14.012482
321,13.94809
189,13.933586
279,13.921293
273,13.881626
54,13.853643
212,13.815608
234,13.7572155
270,13.714584
9,13.709063
346,13.66618
227,13.654942
124,13.649082
102,13.641286
222,13.615295
82,13.601416
96,13.589275
99,13.581034
465,13.574883
106,13.540722
447,13.4181
331,13.367799
129,13.300643
468,13.230108
293,13.151946
165,13.147327
138,13.124849
426,13.0510235
359,13.030232
181,12.966076
25,12.941967
66,12.940116
35,12.915901
128,12.910027
39,12.896517
317,12.887571
527,12.882723
134,12.831614
144,12.816147
23,12.811383
396,12.802923
175,12.774937
515,12.764774
108,12.761067
514,12.713882
31,12.7015505
374,12.669773
74,12.567335
83,12.492697
446,12.483175
51,12.47513
132,12.472875
480,12.459005
171,12.4583435
472,12.416498
413,12.4162445
401,12.389439
240,12.355192
34,12.338357
207,12.336347
347,12.315184
68,12.222374
33,12.203637
183,12.139122
217,12.12526
27,12.120219
178,12.118604
201,12.115307
7,12.112434
100,12.097732
210,12.096756
75,12.0457325
48,11.98134
244,11.97501
341,11.919928
85,11.912991
53,11.880909
307,11.811125
72,11.808415
30,11.79961
344,11.7987
126,11.789015
268,11.788051
324,11.786995
64,11.759375
38,11.737447
77,11.729943
123,11.720639
445,11.6963005
539,11.624561
56,11.615801
203,11.613262
213,11.611189
50,11.5797825
522,11.561947
55,11.546471
537,11.541018
78,11.50518
363,11.501757
484,11.501091
467,11.472376
436,11.470049
84,11.459696
434,11.457356
297,11.452845
211,11.450209
188,11.440942
169,11.430524
71,11.40724
475,11.371414
155,11.2727585
152,11.260088
151,11.257725
415,11.184572
60,11.1710005
172,11.170771
97,11.167162
289,11.125867
208,11.096232
2,11.018832
316,11.00882
164,11.004387
333,10.983749
450,10.973139
13,10.901962
115,10.878834
313,10.8357525
12,10.823077
153,10.81163
187,10.800833
233,10.796816
133,10.778681
73,10.777156
486,10.767479
257,10.7594595
142,10.734558
291,10.7043
87,10.701206
458,10.701016
381,10.671841
197,10.666318
206,10.63212
471,10.626787
91,10.612851
489,10.603907
45,10.537919
11,10.496225
163,10.477506
252,10.463195
470,10.433285
276,10.427681
63,10.27018
477,10.227687
435,10.21115
200,10.16872
93,10.098925
150,10.076773
43,10.070299
18,10.02872
3,10.016392
143,10.006376
67,10.005857
361,9.959203
418,9.923748
191,9.923477
28,9.923216
127,9.898979
443,9.780046
107,9.725613
137,9.67762
166,9.671408
432,9.64448
534,9.607187
135,9.585867
149,9.583594
488,9.561304
528,9.49618
61,9.471547
4,9.383758
182,9.361698
42,9.358973
136,9.322115
15,9.297543
49,9.295457
19,9.291294
22,9.260149
473,9.242358
1,9.2049
358,9.188639
405,9.153639
543,9.134069
214,9.122343
62,9.035055
563,9.007396
366,8.993171
547,8.989731
141,8.962143
299,8.961523
491,8.959184
271,8.946253
287,8.902266
41,8.890148
173,8.868237
298,8.795334
194,8.740259
59,8.738606
332,8.679434
199,8.664924
162,8.662739
94,8.636989
442,8.592548
506,8.571634
355,8.482542
423,8.469368
228,8.468798
540,8.408403
236,8.370385
14,8.333632
223,8.301561
253,8.278529
411,8.2341585
146,8.208984
283,8.111969
284,8.087969
40,8.063566
125,8.050961
367,8.042351
350,8.012468
58,8.011633
492,7.9394755
235,7.935395
46,7.8468
267,7.8457503
161,7.82815
139,7.823682
319,7.7525244
195,7.707685
449,7.703397
80,7.6918116
410,7.6747627
330,7.6699514
79,7.635517
490,7.541857
323,7.513565
329,7.431641
6,7.4273458
437,7.3750954
24,7.371861
224,7.3433805
65,7.2687454
454,7.2637053
119,7.2207193
530,7.207205
424,7.174714
425,7.0405035
121,6.958481
256,6.9428005
280,6.9226313
529,6.905813
131,6.903622
247,6.866645
130,6.856744
174,6.7913904
69,6.6828113
570,6.6774015
399,6.560288
232,6.542816
462,6.3924494
254,6.320416
335,6.299545
113,6.2377048
403,6.201379
417,6.187974
406,6.169423
226,6.081879
463,5.9746284
459,5.7760563
116,5.7598734
422,5.7251177
170,5.6211843
556,5.5619135
231,5.481576
404,5.397994
377,5.3945203
495,5.2271085
120,5.043516
277,5.0230145
238,5.0067267
444,4.9030676
305,4.689308
315,4.680542
179,4.6756744
469,4.6139917
519,4.5288377
431,4.306127
303,4.2429323
21,4.1363626
334,3.5344503
241,3.2945838
278,3.1991334
259,3.1438775
52,2.8950639
301,2.8280754
383,2.634319
487,2.017411
104,1.6011672
535,1.4371135
516,0.6299614
532,0.19477181
308,0.0
318,0.0
294,0.0
296,0.0
322,0.0
310,0.0
314,0.0
568,0.0
373,0.0
382,0.0
387,0.0
385,0.0
402,0.0
397,0.0
395,0.0
392,0.0
569,0.0
571,0.0
572,0.0
20,0.0
564,0.0
565,0.0
566,0.0
409,0.0
455,0.0
456,0.0
457,0.0
148,0.0
356,0.0
362,0.0
158,0.0
154,0.0
368,0.0
372,0.0
429,0.0
420,0.0
371,0.0
408,0.0
421,0.0
427,0.0
70,0.0
478,0.0
288,0.0
111,0.0
476,0.0
441,0.0
304,0.0
453,0.0
250,0.0
246,0.0
353,0.0
272,0.0
263,0.0
262,0.0
260,0.0
290,0.0
452,0.0
451,0.0
416,0.0
328,0.0
512,0.0
511,0.0
479,0.0
57,0.0
325,0.0
481,0.0
282,0.0
88,0.0
90,0.0
281,0.0
482,0.0
499,0.0
573,0.0
574,0.0
576,0.0
500,0.0
503,0.0
505,0.0
507,0.0
508,0.0
509,0.0
510,0.0
518,0.0
577,0.0
300,0.0
521,0.0
531,0.0
523,0.0
559,0.0
560,0.0
561,0.0
557,0.0
552,0.0
551,0.0
555,0.0
553,0.0
548,0.0
549,0.0
8,0.0
562,0.0
542,0.0
545,0.0
536,0.0
581,0.0
