line,score
564,147.11664
420,143.11865
300,142.60397
402,140.2547
198,139.49762
391,139.09305
524,138.7598
580,138.04007
357,137.56926
550,137.28674
392,137.2618
8,137.15924
412,136.97089
427,136.76688
375,136.65964
314,136.4956
456,136.19952
532,136.12622
387,135.8834
365,135.67368
508,135.34232
541,135.20462
398,134.45657
518,133.93866
325,133.46797
20,133.39044
328,132.98755
552,132.97389
394,130.41426
546,130.21994
352,130.21484
507,130.15186
428,129.6561
575,129.28166
33,128.84155
457,128.66855
349,127.32656
389,126.35728
281,126.30354
29,125.80211
122,125.74982
523,123.75816
246,109.86287
149,87.62096
332,73.378235
522,69.94454
493,24.84932
129,23.936222
89,23.144173
98,16.333647
270,10.960983
442,10.34794
556,7.758233
495,6.505696
529,6.3692403
570,6.2946157
264,6.005376
386,5.7203245
174,5.4465566
96,5.270893
307,5.225257
65,5.156892
257,5.0508275
137,4.668453
16,4.5832987
21,4.428252
342,4.2659907
250,4.2202463
323,4.213868
301,4.1597576
7,4.1315317
291,4.1247287
251,4.064125
528,4.0641155
56,4.057264
186,4.037463
86,3.999297
545,3.9200459
558,3.8895285
438,3.8499103
378,3.8447402
285,3.8386247
543,3.7992253
379,3.7595549
484,3.7588043
359,3.7314322
134,3.7236533
82,3.6854696
175,3.6690006
100,3.6607373
145,3.6496482
324,3.6137145
525,3.6113954
230,3.6065814
17,3.599126
329,3.5868592
469,3.5069962
317,3.506075
436,3.497813
466,3.4864676
64,3.4377348
293,3.3958132
487,3.3920498
336,3.3893952
401,3.3367186
39,3.3148608
208,3.3051426
345,3.2997096
23,3.2804298
220,3.2784615
1,3.227951
123,3.2183247
143,3.2012494
445,3.1950684
160,3.1347227
343,3.110744
152,3.0957885
25,3.0706205
311,3.0608158
245,3.052661
388,3.0495446
133,3.0411386
464,3.0301661
236,3.0089817
84,3.007855
6,2.9966578
480,2.98234
151,2.9770072
369,2.9409146
393,2.9267962
396,2.9234276
91,2.9185982
71,2.8982632
227,2.8960552
125,2.835081
233,2.8236125
18,2.8107364
286,2.7977085
27,2.79044
426,2.7799652
201,2.7481446
157,2.7408898
537,2.7164116
185,2.7091603
460,2.7088125
177,2.670682
13,2.6678135
232,2.667346
117,2.6603653
214,2.6497333
14,2.6485815
341,2.648302
165,2.6255517
488,2.6231532
155,2.6150534
126,2.6050355
196,2.6025364
292,2.583641
128,2.5758545
406,2.575109
171,2.568795
161,2.5679119
337,2.5652332
61,2.5466263
439,2.5370102
146,2.5331066
578,2.5326178
424,2.5131974
127,2.5033717
355,2.496169
554,2.4914424
279,2.4858038
15,2.4704032
255,2.4659595
36,2.4549456
276,2.447772
28,2.4350374
399,2.4347548
243,2.427194
55,2.4203591
302,2.4190397
380,2.4154663
491,2.4109566
72,2.4073756
501,2.4070444
366,2.3984456
53,2.3963866
63,2.3897588
130,2.3874063
38,2.3725336
4,2.3701835
206,2.3693027
141,2.3633728
477,2.3616579
506,2.361459
448,2.3478165
527,2.3433094
312,2.3358147
140,2.3239744
144,2.3214555
443,2.313242
58,2.3131428
278,2.3119965
364,2.3102818
2,2.3022695
119,2.300037
19,2.2987857
287,2.2879374
24,2.2801585
153,2.274656
475,2.2699144
268,2.2576375
222,2.2548985
132,2.250295
414,2.2492838
247,2.2461178
114,2.2242568
118,2.2109523
187,2.208794
26,2.2079532
444,2.1951354
104,2.1804373
192,2.1686864
41,2.1666589
313,2.1601653
11,2.1513238
74,2.135264
254,2.1341925
75,2.1306343
437,2.1287723
108,2.1280022
289,2.1256402
440,2.1211004
242,2.11123
62,2.1088572
139,2.103899
54,2.1024365
68,2.1001217
241,2.099834
51,2.0971904
431,2.0916271
169,2.0898507
335,2.0798616
203,2.0741968
191,2.069964
