line,score
504,140.63309
92,140.26471
198,139.49762
391,139.09305
524,138.7598
580,138.04007
357,137.56926
550,137.28674
105,136.82286
365,135.67368
261,135.21112
541,135.20462
20,133.39044
498,131.95848
546,130.21994
352,130.21484
428,129.6561
575,129.28166
496,127.9204
502,127.51692
349,127.32656
389,126.35728
250,126.091934
398,126.059166
390,123.78987
545,92.49348
532,86.283585
98,78.19403
369,70.34993
370,68.57253
89,61.872627
525,60.01857
384,46.87679
466,38.233437
168,36.053802
10,35.82176
483,34.15907
497,33.591866
255,32.366577
156,31.5444
17,29.36898
526,28.845486
376,27.612177
339,27.507652
220,27.168922
520,25.53714
338,25.454151
337,24.970394
501,24.687592
439,24.51262
464,24.313992
345,24.310917
230,24.288502
145,24.145393
407,23.988422
286,23.803608
295,23.780663
167,23.665985
378,23.518631
419,22.700663
225,22.63681
32,22.569462
326,22.372211
448,21.962898
47,21.810541
103,21.551355
554,21.519178
248,21.298302
122,21.214798
221,21.18021
159,21.031694
311,20.90382
375,20.80166
336,20.728893
400,20.49954
76,20.46076
440,20.442856
379,20.428852
544,20.402027
216,20.113718
218,20.035778
285,19.765232
517,19.60366
157,19.59988
124,19.598755
101,19.562338
245,19.55141
239,19.383867
110,19.37458
433,19.296783
177,19.267384
219,19.235104
184,19.088802
393,19.0595
302,18.863018
251,18.772015
386,18.659645
109,18.607578
485,18.59311
558,18.526474
414,18.501404
112,18.483967
185,18.45007
190,18.391603
360,18.257996
354,18.24968
0,18.231396
205,18.163181
426,18.162064
533,18.138567
380,18.072638
275,17.903856
579,17.791203
186,17.787727
269,17.6767
95,17.668068
522,17.654852
567,17.626
44,17.542717
461,17.516878
5,17.397343
292,17.380323
37,17.338757
243,17.321108
209,17.313082
394,17.27271
438,17.219414
412,17.201996
202,17.185055
348,17.076471
364,17.070705
117,17.043537
293,16.86935
192,16.824114
309,16.762829
578,16.735632
343,16.71976
346,16.642235
447,16.607944
180,16.46941
196,16.468811
320,16.449806
513,16.444603
114,16.424679
86,16.419151
342,16.412952
274,16.408413
340,16.285355
226,16.254557
538,16.185413
242,16.176126
468,16.132162
493,16.114113
418,16.014526
347,15.955528
258,15.919498
474,15.844168
249,15.842752
465,15.837091
289,15.81134
215,15.732189
129,15.651443
430,15.633102
514,15.487207
99,15.469475
26,15.464245
527,15.394685
149,15.361681
147,15.347269
160,15.323262
35,15.221054
118,15.190309
227,15.177619
460,15.1205845
229,15.069979
189,15.065129
210,15.032514
176,15.017414
321,15.009201
9,14.993201
54,14.737837
312,14.735189
266,14.693903
388,14.666023
480,14.650781
374,14.604115
327,14.572821
81,14.480385
270,14.474072
446,14.458503
140,14.382762
193,14.376094
273,14.360655
175,14.254774
265,14.174923
31,14.148846
396,14.117375
306,14.107644
102,13.877333
351,13.873682
7,13.872442
413,13.764257
234,13.738251
222,13.72075
181,13.699425
82,13.693912
138,13.621215
144,13.602218
16,13.566648
132,13.534908
450,13.512518
217,13.432474
268,13.4292755
252,13.402735
363,13.4009495
381,13.366044
51,13.339633
83,13.334599
534,13.330442
332,13.292998
183,13.290049
264,13.28318
331,13.206266
317,13.201681
27,13.1877575
165,13.183374
212,13.17278
204,13.153972
96,13.085771
539,13.0680065
126,13.033274
106,12.944572
401,12.938845
434,12.926142
23,12.866686
324,12.841469
291,12.809108
164,12.745024
25,12.737124
53,12.703837
151,12.696289
48,12.653513
237,12.652457
240,12.633406
74,12.58978
333,12.546612
203,12.539287
128,12.5218
71,12.494303
344,12.48704
307,12.461193
68,12.443834
313,12.441024
64,12.404066
207,12.391584
100,12.366957
171,12.355213
72,12.311216
341,12.293478
39,12.178299
33,12.170961
213,12.1625185
134,12.130341
30,12.053679
201,12.052893
85,12.04425
97,12.040223
489,12.028422
279,11.990819
84,11.932558
12,11.931953
38,11.91589
66,11.909782
152,11.87187
197,11.853403
472,11.833143
56,11.825733
515,11.770216
257,11.701407
91,11.695063
403,11.694346
359,11.685688
50,11.662579
55,11.649539
36,11.621239
445,11.620682
172,11.618233
169,11.602264
93,11.587489
233,11.5292845
188,11.510725
484,11.498455
537,11.496309
178,11.480675
244,11.480196
467,11.47267
34,11.472534
11,11.467169
208,11.427863
436,11.398271
435,11.378515
358,11.376095
494,11.315151
133,11.278688
187,11.258776
303,11.245833
415,11.210306
75,11.205637
87,11.18936
405,11.156382
543,11.07545
115,11.067497
108,11.048629
297,11.012438
276,10.959951
13,10.937403
458,10.914757
280,10.847234
442,10.825241
211,10.806744
155,10.769466
18,10.759179
470,10.749531
123,10.7212
316,10.716335
60,10.64744
432,10.545244
486,10.533598
107,10.496372
73,10.495517
471,10.494873
78,10.487766
150,10.472665
137,10.385607
166,10.356524
67,10.355446
287,10.339865
45,10.2841
163,10.248772
200,10.240526
488,10.23985
473,10.236769
506,10.2154255
194,10.214906
528,10.204223
61,10.200154
1,10.083382
206,10.060427
443,10.038736
127,10.01211
142,9.975573
135,9.944153
116,9.914501
63,9.848154
3,9.827411
449,9.804329
59,9.7925825
547,9.758621
477,9.737932
4,9.712086
182,9.710741
143,9.6549225
199,9.649434
62,9.648081
22,9.610443
298,9.605131
15,9.568598
563,9.554349
19,9.551716
162,9.539049
28,9.492819
49,9.487126
43,9.431873
284,9.387487
361,9.308127
153,9.286779
491,9.238932
214,9.175747
41,9.142792
330,9.131615
366,9.114773
2,9.10273
463,9.004882
475,8.990011
271,8.948849
77,8.891319
350,8.837402
256,8.812072
424,8.8006115
146,8.791289
136,8.785752
247,8.767187
223,8.756271
267,8.741295
423,8.7400055
141,8.729588
454,8.722111
24,8.721033
437,8.653044
236,8.650258
14,8.625602
6,8.5985985
125,8.569021
191,8.412502
299,8.400773
65,8.347065
329,8.308018
42,8.294302
235,8.229933
492,8.208279
406,8.204733
228,8.166001
80,8.160135
283,8.019987
46,7.9440017
40,7.9438314
119,7.9117575
411,7.90699
173,7.900532
355,7.8796463
253,7.68083
490,7.6618233
79,7.652959
410,7.6297674
121,7.5656457
323,7.55595
319,7.543042
58,7.5381536
161,7.5147
540,7.4901514
425,7.3426037
367,7.2975225
224,7.2246585
462,7.185492
69,7.1684704
232,7.1260023
335,7.0672226
130,7.032511
131,7.0032687
139,6.9220486
570,6.912678
530,6.842329
174,6.7908754
399,6.7693624
113,6.694792
120,6.625748
94,6.5691943
417,6.5598564
254,6.365196
529,6.070014
459,6.027151
301,5.858693
170,5.831669
377,5.794615
404,5.774911
422,5.724482
195,5.7229176
556,5.561987
277,5.540348
315,5.4691124
469,5.3965816
495,5.3901453
238,5.205169
21,5.203609
231,5.060794
179,5.009247
305,4.9403043
259,4.9153056
444,4.696293
431,4.6640453
519,4.530372
334,4.3271956
241,3.7554622
278,3.6206203
52,3.5294557
383,2.399574
487,2.017411
104,1.584137
535,1.4371135
516,0.4469819
568,0.0
569,0.0
571,0.0
572,0.0
573,0.0
574,0.0
387,0.0
420,0.0
416,0.0
562,0.0
158,0.0
154,0.0
408,0.0
409,0.0
551,0.0
552,0.0
553,0.0
555,0.0
557,0.0
559,0.0
560,0.0
561,0.0
296,0.0
549,0.0
548,0.0
29,0.0
577,0.0
294,0.0
576,0.0
564,0.0
565,0.0
566,0.0
452,0.0
451,0.0
427,0.0
429,0.0
395,0.0
392,0.0
246,0.0
272,0.0
263,0.0
262,0.0
260,0.0
290,0.0
88,0.0
482,0.0
476,0.0
481,0.0
479,0.0
478,0.0
111,0.0
356,0.0
362,0.0
368,0.0
457,0.0
456,0.0
455,0.0
453,0.0
397,0.0
402,0.0
148,0.0
421,0.0
385,0.0
382,0.0
372,0.0
373,0.0
371,0.0
441,0.0
353,0.0
90,0.0
282,0.0
281,0.0
328,0.0
325,0.0
510,0.0
511,0.0
512,0.0
57,0.0
508,0.0
509,0.0
507,0.0
70,0.0
499,0.0
500,0.0
503,0.0
505,0.0
308,0.0
304,0.0
300,0.0
523,0.0
288,0.0
518,0.0
521,0.0
318,0.0
322,0.0
310,0.0
314,0.0
531,0.0
536,0.0
542,0.0
8,0.0
581,0.0
