cascade_no,generation_no,line_no
0,0,549
1,0,363
2,0,163
2,1,163
2,1,486
2,2,39
2,2,131
2,2,163
2,2,486
2,2,488
2,3,28
2,3,40
2,3,66
2,3,100
2,3,131
2,3,163
2,3,312
2,3,477
2,3,486
2,4,3
2,4,28
2,4,39
2,4,62
2,4,100
2,4,130
2,4,217
2,4,477
2,5,3
2,5,23
2,5,40
2,5,91
2,5,100
2,5,128
2,5,204
2,5,236
2,5,266
2,5,477
2,5,558
2,6,3
2,6,4
2,6,31
2,6,41
2,6,100
2,6,143
2,6,153
2,6,163
2,6,173
2,6,176
2,6,283
2,6,299
2,6,316
2,6,359
2,6,486
2,7,3
2,7,39
2,7,41
2,7,100
2,7,127
2,7,143
2,7,176
2,7,205
2,7,221
2,7,254
2,7,299
2,7,316
2,7,490
2,8,30
2,8,127
2,8,143
2,8,194
2,8,201
2,8,236
2,8,283
2,8,399
2,8,415
2,8,468
2,8,490
2,8,491
2,8,547
2,9,22
2,9,48
2,9,59
2,9,78
2,9,93
2,9,125
2,9,127
2,9,130
2,9,179
2,9,191
2,9,201
2,9,207
2,9,242
2,9,256
2,9,299
2,9,367
2,9,399
2,9,490
2,9,491
2,10,6
2,10,7
2,10,12
2,10,48
2,10,59
2,10,93
2,10,115
2,10,121
2,10,127
2,10,166
2,10,173
2,10,208
2,10,234
2,10,236
2,10,237
2,10,299
2,10,399
2,10,490
2,10,491
2,10,527
2,11,3
2,11,6
2,11,22
2,11,59
2,11,63
2,11,84
2,11,96
2,11,127
2,11,130
2,11,131
2,11,177
2,11,186
2,11,192
2,11,224
2,11,236
2,11,237
2,11,258
2,11,399
2,11,467
2,11,490
2,12,6
2,12,22
2,12,23
2,12,75
2,12,84
2,12,91
2,12,96
2,12,125
2,12,127
2,12,130
2,12,131
2,12,139
2,12,143
2,12,150
2,12,165
2,12,194
2,12,197
2,12,235
2,12,236
2,12,247
2,12,274
2,12,331
2,12,399
2,12,460
2,12,490
2,12,491
2,12,563
2,13,3
2,13,6
2,13,16
2,13,19
2,13,22
2,13,23
2,13,36
2,13,40
2,13,55
2,13,59
2,13,66
2,13,97
2,13,113
2,13,117
2,13,125
2,13,127
2,13,130
2,13,131
2,13,139
2,13,165
2,13,179
2,13,197
2,13,201
2,13,203
2,13,204
2,13,235
2,13,236
2,13,273
2,13,287
2,13,399
2,13,445
2,13,458
2,13,460
2,13,467
2,13,490
2,14,1
2,14,3
2,14,6
2,14,7
2,14,13
2,14,16
2,14,19
2,14,22
2,14,23
2,14,24
2,14,36
2,14,41
2,14,50
2,14,58
2,14,59
2,14,107
2,14,117
2,14,127
2,14,130
2,14,131
2,14,135
2,14,139
2,14,140
2,14,143
2,14,144
2,14,157
2,14,165
2,14,176
2,14,178
2,14,180
2,14,182
2,14,193
2,14,194
2,14,200
2,14,203
2,14,208
2,14,210
2,14,217
2,14,233
2,14,235
2,14,236
2,14,241
2,14,243
2,14,399
2,14,445
2,14,458
2,14,460
2,14,473
2,14,490
2,14,491
2,14,537
2,14,563
2,15,1
2,15,3
2,15,7
2,15,13
2,15,15
2,15,16
2,15,19
2,15,22
2,15,23
2,15,36
2,15,40
2,15,41
2,15,50
2,15,58
2,15,59
2,15,96
2,15,118
2,15,119
2,15,127
2,15,128
2,15,130
2,15,131
2,15,139
2,15,140
2,15,143
2,15,144
2,15,153
2,15,160
2,15,165
2,15,176
2,15,178
2,15,182
2,15,183
2,15,186
2,15,194
2,15,201
2,15,203
2,15,204
2,15,206
2,15,213
2,15,214
2,15,224
