cascade no, generation no, line no
1,1,1
2,1,2
3,1,3
4,1,4
5,1,2
6,1,5
7,1,2
8,1,6
9,1,7
10,1,8
11,1,9
12,1,5
13,1,10
14,1,11
15,1,2
16,1,12
17,1,8
18,1,13
19,1,14
19,1,15
19,1,16
19,2,17
20,1,18
21,1,19
22,1,20
23,1,2
24,1,21
24,2,21
25,1,22
26,1,23
27,1,24
28,1,25
29,1,25
30,1,26
31,1,27
32,1,28
33,1,29
34,1,29
35,1,30
36,1,14
36,1,16
36,1,15
37,1,31
38,1,32
39,1,33
39,2,33
39,3,33
40,1,34
41,1,35
42,1,36
43,1,37
44,1,38
45,1,38
46,1,39
47,1,40
48,1,41
48,1,42
48,2,2
48,3,42
48,4,41
48,4,42
49,1,21
50,1,38
51,1,43
51,1,44
52,1,37
53,1,45
54,1,46
54,2,45
55,1,46
56,1,46
56,1,47
56,1,48
56,2,49
57,1,50
57,2,51
57,3,52
57,4,53
57,5,54
57,6,55
57,7,31
58,1,56
59,1,57
60,1,58
61,1,59
61,2,17
62,1,31
63,1,31
63,2,31
64,1,31
64,2,31
65,1,31
66,1,60
66,2,60
66,3,60
66,4,60
67,1,61
68,1,60
69,1,24
70,1,24
71,1,62
72,1,63
72,2,64
73,1,65
74,1,66
74,1,66
75,1,67
76,1,13
77,1,68
77,1,69
77,1,70
78,1,61
78,1,61
79,1,13
80,1,71
81,1,2
82,1,72
83,1,17
84,1,31
85,1,73
86,1,74
86,2,17
87,1,75
87,2,76
88,1,21
89,1,77
90,1,78
91,1,79
92,1,8
93,1,80
94,1,81
95,1,12
96,1,73
97,1,82
97,2,3
97,3,83
97,4,13
97,5,83
97,6,76
97,7,84
97,8,75
97,8,85
97,9,13
98,1,86
98,2,32
99,1,87
100,1,31
101,1,28
101,1,88
101,1,72
102,1,27
103,1,75
104,1,89
105,1,90
106,1,8
107,1,8
108,1,42
109,1,91
110,1,92
111,1,75
112,1,2
113,1,8
114,1,93
115,1,37
116,1,94
117,1,95
